id,label
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0002_55.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0005_796090.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0006_796065.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0008_796083.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0009_34.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0010_796097.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0016_796067.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0024_796089.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0031_100.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0033_796086.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0035_796140.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0037_796120.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0046_18.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0047_796064.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0049_796063.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0053_796109.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0056_796078.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0057_796106.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0061_796082.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0063_796141.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0064_796101.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0065_796068.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0069_796139.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0076_417.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0078_796126.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0080_796096.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0082_796121.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0085_92.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0088_796133.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross\Black_Footed_Albatross_0090_796077.jpg,0
./datasets/CUB_200_2011/CUB_200_2011/images/002.Laysan_Albatross\Laysan_Albatross_0002_1027.jpg,1
./datasets/CUB_200_2011/CUB_200_2011/images/002.Laysan_Albatross\Laysan_Albatross_0004_930.jpg,1
./datasets/CUB_200_2011/CUB_200_2011/images/002.Laysan_Albatross\Laysan_Albatross_0006_702.jpg,1
./datasets/CUB_200_2011/CUB_200_2011/images/002.Laysan_Albatross\Laysan_Albatross_0012_696.jpg,1
./datasets/CUB_200_2011/CUB_200_2011/images/002.Laysan_Albatross\Laysan_Albatross_0017_614.jpg,1
